기준연월,고객광역시군구명,전체이용건수,전체이용금액
201901,세종특별자치시,85264,3098865139
201901,울산광역시,27791,991509656
201901,인천광역시,164820,5082848771
201901,전라북도,117489,3624541132
201901,충청북도,111399,3632282615
201902,강원도,29011,808895610
201902,경기도,999505,29249465108
201902,경상북도,57477,1798204707
201903,부산광역시,85949,2672626886
201903,서울특별시,680985,20309482230
201904,대구광역시,63864,1988276416
201904,전라남도,63432,1869996729
201904,제주특별자치도,13405,335710889
201905,경상남도,101250,2943444467
201905,광주광역시,54067,1410255321
201905,대전광역시,306175,10063028729
201906,세종특별자치시,95385,3212058672
201906,울산광역시,31775,999433502
201906,인천광역시,236538,6242930160
201906,전라북도,133291,3871996400
201906,충청북도,135957,3939960955
201907,강원도,34341,942065188
201907,경기도,1209303,35375920561
201907,경상북도,76201,2239997951
201908,부산광역시,87596,2833514085
201908,서울특별시,755885,23032367956
201909,대구광역시,63683,2011895818
201909,전라남도,58740,1629931037
201909,제주특별자치도,13279,330680973
201910,세종특별자치시,97302,3242610985
201910,울산광역시,34672,1060412994
201910,인천광역시,249182,6495597361
201910,전라북도,135511,4241474345
201910,충청북도,138195,4303678760
201911,강원도,36768,1034560473
201911,경기도,1307966,37199044785
201911,경상북도,74727,2310036648
201912,부산광역시,79589,2574013161
201912,서울특별시,611153,19265618161
202001,부산광역시,71437,2435850145
202001,서울특별시,582025,19534728514
202002,대구광역시,48609,1517081365
202002,전라남도,41585,1323024962
202002,제주특별자치도,8667,258874896
202003,경상남도,71803,2198924141
202003,광주광역시,36200,1057925910
202003,대전광역시,228961,7881668895
202004,세종특별자치시,83232,2762656367
202004,울산광역시,27098,827789538
202004,인천광역시,179685,5312916401
202004,전라북도,104043,3376837098
202004,충청북도,109506,3240300366
202005,강원도,32145,882384140
202005,경기도,1236536,35138349580
202005,경상북도,71474,1996546371
202006,부산광역시,79445,2434099251
202006,서울특별시,630130,19547296948
202007,대구광역시,62081,1716320349
202007,전라남도,48657,1437389734
202007,제주특별자치도,10172,262531131
202008,경상남도,90881,2559306740
202008,광주광역시,45211,1237626918
202008,대전광역시,262528,8339288221
202009,세종특별자치시,79224,2754787027
202009,울산광역시,26175,886138200
202009,인천광역시,199908,5638900772
202009,전라북도,105031,3320144635
202009,충청북도,110951,3480730073
202010,부산광역시,79173,2444096931
202010,서울특별시,675661,22634578730
202011,대구광역시,57875,1629251260
202011,전라남도,46053,1431802250
202011,제주특별자치도,9274,243153841
202012,경상남도,77376,2297768228
202012,광주광역시,38143,1185596094
202012,대전광역시,207992,8232873194
202101,대구광역시,49293,1742693512
202101,전라남도,36527,1142807259
202101,제주특별자치도,7488,221922020
202102,경상남도,71322,2128698032
202102,광주광역시,33754,987910205
202102,대전광역시,199879,6698224945
202103,세종특별자치시,71521,2612341517
202103,울산광역시,28754,922298898
202103,인천광역시,184268,5713669243
202103,전라북도,105648,3531144551
202103,충청북도,102583,3411294439
202104,강원도,29610,798301271
202104,경기도,1158199,35329144095
202104,경상북도,69822,2109455240
202105,부산광역시,85549,2619158802
202105,서울특별시,652845,21555194373
202106,대구광역시,63083,1828061986
202106,전라남도,51753,1660788861
202106,제주특별자치도,8922,229873124
202107,경상남도,89441,2610447459
202107,광주광역시,42433,1327914228
202107,대전광역시,256435,8721424674
202108,세종특별자치시,74158,2598008775
202108,울산광역시,32799,987162853
202108,인천광역시,205944,6057870490
202108,전라북도,109101,3473550188
202108,충청북도,111630,3739631033
202109,강원도,28700,758011804
202109,경기도,1198629,36725903506
202109,경상북도,66547,1968656199
202110,대구광역시,64132,1961061293
