기준연월,시군구명,이용건수,이용금액
201901,계룡시,88154,2454073581
201901,금산군,145903,5210100942
201901,논산시,326570,13967662468
201901,당진시,636183,24238366473
201901,보령시,306387,12343364569
201901,부여군,113083,6038741772
201901,서산시,563090,22452732847
201901,서천군,101257,4298342234
201901,예산군,201637,8706948827
201901,천안시 동남구,1342322,46400933753
201901,천안시 서북구,1907899,66852232028
201901,청양군,50279,2160646003
201901,홍성군,281171,11418270907
201902,공주시,657712,22794554939
201902,아산시,1336369,42805528222
201902,태안군,119680,5105410749
201903,계룡시,91467,2499379340
201903,금산군,174141,5527835644
201903,논산시,376473,13603452870
201903,당진시,729734,27021642233
201903,보령시,335089,12755243761
201903,부여군,139221,7070380760
201903,서산시,644710,24259982839
201903,서천군,126063,5315169110
201903,예산군,225327,9204906374
201903,천안시 동남구,1621417,48256838194
201903,천안시 서북구,2072860,65200608457
201903,청양군,50961,2228099144
201903,홍성군,334964,12185183120
201904,공주시,744223,26083797727
201904,아산시,1719840,49702048894
201904,태안군,196266,9495263976
201905,계룡시,98561,2729974127
201905,금산군,197312,6453246486
201905,논산시,405617,14655832749
201905,당진시,798512,28816350980
201905,보령시,382044,14452104193
201905,부여군,165228,7924532248
201905,서산시,710758,26394665446
201905,서천군,132945,5892348124
201905,예산군,268814,10615664172
201905,천안시 동남구,1707738,50421453253
201905,천안시 서북구,2174536,66634449151
201905,청양군,61265,2637917093
201905,홍성군,366964,13279750106
201906,공주시,750373,25564551686
201906,아산시,1719241,49565038861
201906,태안군,219773,9933867755
201907,계룡시,98258,2646762260
201907,금산군,180151,5820297237
201907,논산시,372091,13167331536
201907,당진시,741156,25564712438
201907,보령시,403645,13962051386
201907,부여군,157766,6889798683
201907,서산시,650773,23833193617
201907,서천군,119809,4598748871
201907,예산군,243896,9333807949
201907,천안시 동남구,1493058,46448686522
201907,천안시 서북구,2100280,64097450710
201907,청양군,53594,2190434941
201907,홍성군,321011,11442454921
201908,공주시,802538,26266095922
201908,아산시,1718924,50713843225
201908,태안군,280688,11002110308
201909,계룡시,90038,2571356953
201909,금산군,193815,6407715148
201909,논산시,380843,13589870765
201909,당진시,722345,25952252132
201909,보령시,355453,13159684223
201909,부여군,153286,7149837234
201909,서산시,637157,23644429652
201909,서천군,127200,5220864794
201909,예산군,237639,9516204960
201909,천안시 동남구,1560434,45740308661
201909,천안시 서북구,2021905,63544708518
201909,청양군,56327,2382097018
201909,홍성군,352023,12481668204
