"지역","동물장묘업(업체 수)","백분율","장례시설만 운영","장례_화장시설 운영","장례_화장_납골시설 운영","장례_화장_건조_납골시설 운영","기타","종사자수(명)"
"부산","2","3.51","0","0","2","0","0","12"
"대구","1","1.75","1","0","0","0","0","5"
"인천","2","3.51","1","0","0","0","1","14"
"광주","1","1.75","1","0","0","0","0","1"
"울산","1","1.75","0","0","1","0","0","3"
"세종","1","1.75","0","0","1","0","0","3"
"경기","21","36.84","0","2","17","0","2","108"
"강원","2","3.51","0","0","2","0","0","4"
"충북","5","8.77","1","0","3","0","1","12"
"충남","5","8.77","1","1","2","0","1","14"
"전북","3","5.26","1","0","1","1","0","11"
"경북","5","8.77","0","0","4","1","0","17"
"경남","8","14.04","0","1","7","0","0","41"
